date,year,home_team,away_team,home_score,away_score,result,tournament,neutral,home_recent_goals_for,home_recent_goals_against,home_recent_form,home_recent_matches,away_recent_goals_for,away_recent_goals_against,away_recent_form,away_recent_matches
2000-04-26,2000,Romania,Cyprus,2.0,0.0,H,Friendly,False,1.25,1.5,4,4,2.0,1.25,10,4
2000-04-26,2000,Armenia,Georgia,0.0,0.0,D,Friendly,False,1.5,1.75,4,4,1.3333333333333333,1.0,5,3
2000-04-26,2000,Bolivia,Colombia,1.0,1.0,D,FIFA World Cup qualification,False,3.0,1.0,4,3,0.8,1.4,5,5
2000-04-26,2000,South Korea,Japan,1.0,0.0,H,Friendly,False,4.2,0.4,11,5,3.0,0.2,10,5
2000-04-26,2000,Chile,Peru,1.0,1.0,D,FIFA World Cup qualification,False,2.2,2.2,9,5,1.8,1.4,7,5
2000-04-29,2000,Antigua and Barbuda,Dominica,3.0,2.0,H,Friendly,True,0.75,1.25,3,4,1.0,2.3333333333333335,3,3
2000-04-30,2000,British Virgin Islands,Antigua and Barbuda,1.0,1.0,D,Friendly,False,1.8,3.6,4,5,1.2,1.4,6,5
2000-05-06,2000,Gambia,Senegal,1.0,1.0,D,Amílcar Cabral Cup,True,0.2,0.8,3,5,1.0,1.2,5,5
2000-05-07,2000,Honduras,Panama,3.0,1.0,H,FIFA World Cup qualification,False,1.8,1.4,9,5,1.8,1.0,10,5
2000-05-07,2000,Trinidad and Tobago,Haiti,3.0,1.0,H,FIFA World Cup qualification,False,2.0,0.4,10,5,4.2,0.8,12,5
2000-05-07,2000,Mali,Guinea-Bissau,3.0,2.0,H,Amílcar Cabral Cup,True,1.5,2.0,6,4,0.3333333333333333,1.0,4,3
2000-05-07,2000,Guinea,Mauritania,1.0,1.0,D,Amílcar Cabral Cup,True,3.3333333333333335,1.6666666666666667,7,3,0.2,1.2,2,5
2000-05-07,2000,Cuba,Barbados,1.0,1.0,D,FIFA World Cup qualification,False,1.8,0.0,11,5,2.8,1.4,11,5
2000-05-07,2000,Antigua and Barbuda,Saint Vincent and the Grenadines,2.0,1.0,H,FIFA World Cup qualification,False,1.4,1.2,7,5,4.25,0.5,12,4
2000-05-07,2000,El Salvador,Guatemala,1.0,1.0,D,FIFA World Cup qualification,False,3.0,0.6,15,5,1.4,1.6,7,5
2000-05-08,2000,Cape Verde,Senegal,2.0,2.0,D,Amílcar Cabral Cup,False,0.5,0.75,5,4,1.2,1.2,6,5
2000-05-08,2000,Gambia,Sierra Leone,2.0,2.0,D,Amílcar Cabral Cup,True,0.4,1.0,3,5,1.3333333333333333,1.0,3,3
2000-05-09,2000,Guinea,Guinea-Bissau,2.0,1.0,H,Amílcar Cabral Cup,True,2.75,1.5,8,4,0.75,1.5,4,4
2000-05-09,2000,Mali,Mauritania,2.0,2.0,D,Amílcar Cabral Cup,True,1.8,2.0,9,5,0.4,1.4,2,5
2000-05-10,2000,Maldives,Sri Lanka,1.0,1.0,D,Friendly,False,0.6,1.2,5,5,1.0,0.3333333333333333,7,3
2000-05-11,2000,Senegal,Mali,2.0,2.0,D,Amílcar Cabral Cup,True,1.2,1.2,6,5,2.2,1.8,10,5
2000-05-11,2000,Cape Verde,Guinea,2.0,0.0,H,Amílcar Cabral Cup,False,0.8,1.0,6,5,2.6,1.4,11,5
2000-05-13,2000,Jordan,Lebanon,1.0,1.0,D,Friendly,True,2.6,1.0,8,5,1.0,0.6666666666666666,5,3
2000-05-14,2000,Cape Verde,Senegal,1.0,0.0,H,Amílcar Cabral Cup,False,1.2,1.0,8,5,1.4,1.2,7,5
2000-05-14,2000,Guinea,Mali,2.0,0.0,H,Amílcar Cabral Cup,True,1.8,1.0,10,5,2.2,2.0,8,5
2000-05-14,2000,Jamaica,Panama,0.0,1.0,A,Friendly,False,0.6,0.8,7,5,1.8,1.4,9,5
2000-05-14,2000,Zimbabwe,Namibia,3.0,2.0,H,COSAFA Cup,False,1.75,1.0,9,4,2.0,0.6666666666666666,7,3
2000-05-19,2000,Guatemala,Belize,0.0,0.0,D,FIFA World Cup qualification,True,1.2,1.6,5,5,0.6666666666666666,3.3333333333333335,0,3
2000-05-19,2000,Haiti,Trinidad and Tobago,1.0,1.0,D,FIFA World Cup qualification,False,3.6,1.4,9,5,2.6,0.4,13,5
2000-05-21,2000,Saint Vincent and the Grenadines,Antigua and Barbuda,4.0,0.0,H,FIFA World Cup qualification,False,3.6,0.8,12,5,1.4,1.0,9,5
2000-05-21,2000,Barbados,Cuba,1.0,1.0,D,FIFA World Cup qualification,False,2.6,1.2,11,5,1.2,0.2,9,5
2000-05-21,2000,Panama,Nicaragua,4.0,0.0,H,FIFA World Cup qualification,False,1.2,1.2,9,5,0.0,2.5,0,4
2000-05-24,2000,Syria,Palestine,1.0,0.0,H,WAFF Championship,True,2.0,0.6,10,5,0.75,2.0,3,4
2000-05-24,2000,Iran,Kazakhstan,3.0,0.0,H,WAFF Championship,True,1.6,0.4,10,5,1.8,0.6,12,5
2000-05-26,2000,Algeria,Burkina Faso,2.0,0.0,H,Friendly,False,1.4,0.8,8,5,1.6,1.8,4,5
2000-05-26,2000,Kazakhstan,Syria,0.0,4.0,A,WAFF Championship,True,1.6,1.2,9,5,2.2,0.4,13,5
2000-05-26,2000,Palestine,Iran,1.0,1.0,D,WAFF Championship,True,0.6,1.8,3,5,2.0,0.4,10,5
2000-05-27,2000,Jordan,Lebanon,0.0,0.0,D,WAFF Championship,False,2.0,0.6,9,5,1.0,0.8,6,5
2000-05-27,2000,Norway,Slovakia,2.0,0.0,H,Friendly,False,1.0,1.0,6,5,0.75,0.5,5,4
2000-05-27,2000,Jamaica,Colombia,0.0,3.0,A,Friendly,True,0.2,0.8,4,5,1.0,1.2,6,5
2000-05-27,2000,Netherlands,Romania,2.0,1.0,H,Friendly,False,1.3333333333333333,1.0,5,3,1.4,1.2,7,5
2000-05-27,2000,Cuba,Haiti,0.0,1.0,A,Friendly,False,0.6,0.4,7,5,3.2,1.4,7,5
2000-05-27,2000,Canada,Trinidad and Tobago,1.0,0.0,H,Friendly,False,1.4,0.6,11,5,1.8,0.6,11,5
2000-05-28,2000,Croatia,France,0.0,2.0,A,Friendly,False,1.0,0.6666666666666666,5,3,2.0,0.6666666666666666,9,3
2000-05-28,2000,Iran,Syria,1.0,0.0,H,WAFF Championship,True,2.2,0.4,11,5,1.8,0.4,13,5
2000-05-28,2000,Kazakhstan,Palestine,3.0,2.0,H,WAFF Championship,True,1.4,2.0,6,5,0.8,1.8,4,5
2000-05-28,2000,South Korea,Serbia,0.0,0.0,D,Friendly,False,4.4,0.4,13,5,1.6666666666666667,0.3333333333333333,9,3
2000-05-28,2000,Malta,South Africa,0.0,1.0,A,Friendly,False,1.2,1.0,7,5,1.6,0.8,10,5
2000-05-29,2000,Cuba,Haiti,1.0,1.0,D,Friendly,False,0.6,0.6,6,5,3.2,0.8,10,5
2000-05-30,2000,South Korea,Serbia,0.0,0.0,D,Friendly,False,4.0,0.0,13,5,1.25,0.25,10,4
2000-05-30,2000,Canada,Honduras,2.0,1.0,H,Friendly,False,1.2,0.2,13,5,1.8,1.6,9,5
2000-05-31,2000,Iraq,Syria,0.0,0.0,D,WAFF Championship,True,2.0,0.3333333333333333,7,3,1.4,0.4,10,5
2000-05-31,2000,Jordan,Iran,0.0,1.0,A,WAFF Championship,False,1.0,0.6,7,5,1.8,0.4,11,5
2000-05-31,2000,Venezuela,Panama,3.0,1.0,H,Friendly,False,0.0,2.0,1,3,1.8,0.6,12,5
2000-06-01,2000,Botswana,Mozambique,2.0,0.0,H,Friendly,True,0.8,1.0,6,5,1.0,1.3333333333333333,3,3
2000-06-01,2000,Eswatini,Lesotho,0.0,1.0,A,Friendly,False,0.25,3.0,0,4,0.2,1.6,0,5
2000-06-02,2000,Singapore,Qatar,1.0,5.0,A,Friendly,False,1.0,0.8,10,5,2.2,0.8,10,5
2000-06-02,2000,Eswatini,Botswana,0.0,0.0,D,Friendly,False,0.2,2.6,0,5,1.0,1.0,6,5
2000-06-02,2000,Portugal,Wales,3.0,0.0,H,Friendly,False,1.0,1.3333333333333333,4,3,0.6666666666666666,1.6666666666666667,3,3
2000-06-02,2000,Lesotho,Mozambique,0.0,0.0,D,Friendly,True,0.4,1.4,3,5,0.75,1.5,3,4
2000-06-02,2000,Jordan,Iraq,1.0,4.0,A,WAFF Championship,False,0.6,0.4,6,5,1.5,0.25,8,4
2000-06-02,2000,Iran,Syria,1.0,0.0,H,WAFF Championship,True,1.8,0.2,13,5,1.2,0.2,10,5
2000-06-03,2000,United States,South Africa,4.0,0.0,H,USA Cup,False,1.4,1.0,8,5,1.8,0.4,13,5
2000-06-03,2000,Sweden,Spain,1.0,1.0,D,Friendly,False,0.75,0.75,5,4,1.6666666666666667,0.0,7,3
2000-06-03,2000,Slovenia,Saudi Arabia,2.0,0.0,H,Friendly,False,2.3333333333333335,1.3333333333333333,4,3,1.0,1.0,3,3
2000-06-03,2000,Romania,Greece,2.0,1.0,H,Friendly,False,1.2,1.6,4,5,2.3333333333333335,0.3333333333333333,9,3
2000-06-03,2000,Norway,Italy,1.0,0.0,H,Friendly,False,1.4,1.0,8,5,1.0,0.6666666666666666,6,3
2000-06-03,2000,Algeria,Guinea,4.0,0.0,H,Friendly,False,1.2,0.6,8,5,1.6,1.0,10,5
2000-06-03,2000,Latvia,Finland,1.0,0.0,H,Friendly,False,0.6666666666666666,2.0,0,3,1.4,1.6,8,5
2000-06-03,2000,Hungary,Israel,2.0,1.0,H,Friendly,False,0.75,1.25,5,4,2.0,2.0,4,3
2000-06-03,2000,Honduras,Haiti,4.0,0.0,H,FIFA World Cup qualification,False,1.4,1.8,6,5,1.6,1.0,8,5
2000-06-03,2000,Germany,Czech Republic,3.0,2.0,H,Friendly,False,1.0,1.3333333333333333,2,3,2.75,1.5,9,4
2000-06-03,2000,Malta,England,1.0,2.0,A,Friendly,False,0.8,1.2,4,5,1.0,0.3333333333333333,5,3
2000-06-04,2000,Eswatini,Mozambique,1.0,1.0,D,Friendly,False,0.2,2.4,1,5,0.6,1.2,4,5
2000-06-04,2000,Senegal,Zambia,0.0,0.0,D,Friendly,False,1.2,1.2,6,5,1.2,0.2,12,5
2000-06-04,2000,Peru,Brazil,0.0,1.0,A,FIFA World Cup qualification,False,1.8,1.4,7,5,2.8,0.6,11,5
2000-06-04,2000,Netherlands,Poland,3.0,1.0,H,Friendly,True,1.5,1.0,8,4,0.0,1.0,2,4
2000-06-04,2000,Morocco,Jamaica,1.0,0.0,H,King Hassan II Tournament,False,0.8,0.4,10,5,0.2,1.4,3,5
2000-06-04,2000,Moldova,Russia,0.0,1.0,A,Friendly,False,1.3333333333333333,1.0,6,3,1.3333333333333333,1.6666666666666667,4,3
2000-06-04,2000,Mexico,Republic of Ireland,2.0,2.0,D,USA Cup,True,1.6,1.0,7,5,1.3333333333333333,1.6666666666666667,3,3
2000-06-04,2000,Nigeria,Malawi,3.0,2.0,H,Friendly,False,2.0,0.6,11,5,1.4,1.0,8,5
2000-06-04,2000,Cuba,Canada,0.0,1.0,A,FIFA World Cup qualification,False,0.6,0.8,4,5,1.6,0.4,15,5
2000-06-04,2000,Colombia,Venezuela,3.0,0.0,H,FIFA World Cup qualification,False,1.2,0.8,8,5,0.75,1.75,4,4
2000-06-04,2000,Botswana,Lesotho,1.0,1.0,D,Friendly,True,0.4,1.0,4,5,0.4,1.0,4,5
2000-06-04,2000,Azerbaijan,Georgia,0.0,0.0,D,Friendly,False,0.0,1.3333333333333333,1,3,1.0,0.75,6,4
2000-06-04,2000,Argentina,Bolivia,1.0,0.0,H,FIFA World Cup qualification,False,2.6666666666666665,0.3333333333333333,7,3,2.5,1.0,5,4
2000-06-04,2000,France,Japan,2.0,2.0,D,King Hassan II Tournament,True,2.0,0.5,12,4,3.0,0.2,10,5
2000-06-06,2000,United States,Republic of Ireland,1.0,1.0,D,USA Cup,False,1.6,1.0,8,5,1.5,1.75,4,4
2000-06-06,2000,Nigeria,Malawi,4.0,1.0,H,Friendly,False,2.2,0.8,11,5,1.2,0.8,8,5
2000-06-06,2000,Senegal,Zambia,0.0,0.0,D,Friendly,False,1.0,1.2,4,5,1.2,0.0,13,5
2000-06-06,2000,Jamaica,Japan,0.0,4.0,A,King Hassan II Tournament,True,0.0,1.6,0,5,2.8,0.6,8,5
2000-06-06,2000,Morocco,France,1.0,5.0,A,King Hassan II Tournament,False,0.8,0.4,10,5,2.0,0.8,13,5
2000-06-07,2000,Iran,Egypt,1.0,1.0,D,Friendly,False,1.4,0.2,13,5,2.2,1.0,12,5
2000-06-07,2000,South Korea,North Macedonia,2.0,1.0,H,Friendly,True,2.2,0.0,11,5,0.6666666666666666,1.0,3,3
2000-06-07,2000,Mexico,South Africa,4.0,2.0,H,USA Cup,True,1.8,1.4,5,5,1.4,0.8,12,5
2000-06-09,2000,Iran,North Macedonia,3.0,1.0,H,Friendly,False,1.0,0.4,11,5,0.75,1.25,3,4
2000-06-09,2000,Australia,Paraguay,0.0,0.0,D,Friendly,False,1.2,1.2,5,5,1.3333333333333333,1.0,6,3
2000-06-09,2000,Egypt,South Korea,0.0,1.0,A,Friendly,True,2.2,1.2,10,5,1.4,0.2,11,5
2000-06-10,2000,Thailand,Qatar,2.0,3.0,A,Friendly,False,2.6,1.6,12,5,3.2,0.8,13,5
2000-06-10,2000,Saint Vincent and the Grenadines,Barbados,1.0,0.0,H,Friendly,False,2.6,0.8,12,5,2.4,1.0,11,5
2000-06-10,2000,Belgium,Sweden,2.0,1.0,H,UEFA Euro,False,1.75,1.25,6,4,0.8,0.8,6,5
2000-06-11,2000,United States,Mexico,3.0,0.0,H,USA Cup,False,1.6,1.2,6,5,2.4,1.4,8,5
2000-06-11,2000,Tunisia,Senegal,4.0,1.0,H,Friendly,False,1.6,1.4,8,5,0.8,1.0,4,5
2000-06-11,2000,Netherlands,Czech Republic,1.0,0.0,H,UEFA Euro,False,1.8,1.0,11,5,2.6,1.8,9,5
2000-06-11,2000,Lesotho,Zambia,0.0,0.0,D,COSAFA Cup,False,0.4,0.8,5,5,0.6,0.0,11,5
2000-06-11,2000,France,Denmark,3.0,0.0,H,UEFA Euro,True,2.8,1.0,13,5,1.0,1.6666666666666667,1,3
2000-06-11,2000,Republic of Ireland,South Africa,2.0,1.0,H,USA Cup,True,1.4,1.6,5,5,1.4,1.6,9,5
2000-06-11,2000,Japan,Slovakia,1.0,1.0,D,Kirin Cup,False,1.8,0.6,8,5,0.8,0.8,6,5
2000-06-11,2000,Estonia,Georgia,1.0,0.0,H,Friendly,False,1.5,1.75,4,4,0.8,0.6,7,5
2000-06-11,2000,Canada,Cuba,0.0,0.0,D,FIFA World Cup qualification,False,1.4,0.2,15,5,0.6,1.0,3,5
2000-06-11,2000,Antigua and Barbuda,Guatemala,0.0,1.0,A,FIFA World Cup qualification,False,1.4,1.8,8,5,0.8,0.8,6,5
2000-06-12,2000,Australia,Paraguay,0.0,0.0,D,Friendly,False,1.0,0.8,6,5,1.0,0.75,7,4
2000-06-12,2000,Germany,Romania,1.0,1.0,D,UEFA Euro,True,2.8,1.6,8,5,1.4,1.6,6,5
2000-06-12,2000,New Caledonia,Vanuatu,3.0,1.0,H,Friendly,False,2.75,2.75,6,4,3.0,1.75,6,4
2000-06-12,2000,Portugal,England,3.0,2.0,H,UEFA Euro,True,1.5,1.0,7,4,1.25,0.5,8,4
2000-06-13,2000,Serbia,Slovenia,3.0,3.0,D,UEFA Euro,True,1.0,0.2,11,5,2.25,1.0,7,4
2000-06-13,2000,Spain,Norway,0.0,1.0,A,UEFA Euro,True,1.4,0.2,11,5,1.4,0.8,10,5
2000-06-14,2000,Belgium,Italy,0.0,2.0,A,UEFA Euro,False,1.8,1.2,9,5,1.0,0.8,9,5
2000-06-14,2000,Bolivia,Slovakia,0.0,2.0,A,Kirin Cup,True,2.0,1.0,5,5,1.0,1.0,6,5
2000-06-14,2000,Kenya,Burkina Faso,0.0,1.0,A,Friendly,False,0.5,1.25,2,4,1.4,2.0,3,5
2000-06-15,2000,Australia,Paraguay,2.0,1.0,H,Friendly,False,1.0,0.8,6,5,0.8,0.6,8,5
2000-06-15,2000,New Caledonia,Vanuatu,1.0,0.0,H,Friendly,False,2.8,2.4,9,5,2.6,2.0,6,5
2000-06-16,2000,Czech Republic,France,1.0,2.0,A,UEFA Euro,True,2.2,1.8,6,5,3.0,1.0,13,5
2000-06-16,2000,Algeria,Senegal,1.0,1.0,D,FIFA World Cup qualification,False,1.8,0.4,10,5,0.6,1.4,3,5
2000-06-16,2000,Netherlands,Denmark,3.0,0.0,H,UEFA Euro,False,1.6,0.8,11,5,0.75,2.0,1,4
2000-06-17,2000,Nigeria,Sierra Leone,2.0,0.0,H,FIFA World Cup qualification,False,2.6,1.0,11,5,1.5,1.25,4,4
2000-06-17,2000,Namibia,Morocco,0.0,0.0,D,FIFA World Cup qualification,False,2.0,1.25,7,4,1.0,1.4,9,5
2000-06-17,2000,Malawi,Burkina Faso,1.0,1.0,D,FIFA World Cup qualification,False,1.0,1.6,5,5,1.2,1.2,6,5
